index,compactness,k2,mass,radius
0.2,0.11167687917331984,0.2926584374205933,1.0326213082216351,13.684833848160878
0.2,0.1126657617569094,0.290613859184736,1.045167498364821,13.729529481347265
0.2,0.11364694751898492,0.28834970125499754,1.0576531657619654,13.773591983772537
0.2,0.11462055092320846,0.286471017158535,1.0700786122868151,13.817036590981996
0.2,0.1155866835765938,0.28440731719880435,1.0824441432680219,13.85987799342899
0.2,0.11654545433588351,0.28235418407623025,1.0947500671311565,13.902130362670476
0.2,0.11749696940856172,0.28042025903602497,1.106996695064126,13.943807375984315
0.2,0.11844133244883699,0.2783199886435673,1.1191843407043238,13.984922239522339
0.2,0.11937864464898297,0.27656380105873557,1.1313133198462089,14.025487710097348
0.2,0.12030900482621719,0.274632542781293,1.1433839501676784,14.065516115709784
